period,location_a,location_b,co_mentions
post_election_upto_forming_government,Bogura,Sherpur,2
post_election_upto_forming_government,Brahmanbaria,Narayanganj,2
post_election_upto_forming_government,Brahmanbaria,ব্রাহ্মণবাড়িয়া,2
post_election_upto_forming_government,Chapainawabganj,চাঁপাইনবাবগঞ্জ,2
post_election_upto_forming_government,Chattogram,Jessore,2
post_election_upto_forming_government,Chattogram,পাবনা,2
post_election_upto_forming_government,Chuadanga,Dhaka,2
post_election_upto_forming_government,Cox's Bazar,Rangpur,2
post_election_upto_forming_government,Cumilla,Feni,2
post_election_upto_forming_government,Cumilla,Gazipur,2
post_election_upto_forming_government,Cumilla,Khulna,2
post_election_upto_forming_government,Cumilla,Lakshmipur,2
post_election_upto_forming_government,Cumilla,Sylhet,2
post_election_upto_forming_government,Dhaka,Jhenaidah,2
